"","WELFARECODE","MEDICINENAME","CNT"
"1","","【005】MK-6482錠40mg(90錠/本)(泌尿・200051)",15
"2","","【005】ｴﾍﾞﾛﾘﾑｽ錠【10mg】(30錠/箱)(泌尿・200051)",4
"3","","【005】ｴﾍﾞﾛﾘﾑｽ錠【2.5mg】(30錠/箱)(泌尿・200051)",1
"4","","【005】ｴﾍﾞﾛﾘﾑｽ錠【5mg】(30錠/箱)(泌尿・200051)",34
"5","","【011】MK-6482錠40mg(90錠/本)(泌尿・210047)",1
"6","","【011】ｶﾎﾞｻﾞﾝﾁﾆﾌﾞ錠【40mg】(30錠/本)(泌尿・210047)",1
"7","","【011】ｶﾎﾞｻﾞﾝﾁﾆﾌﾞ錠【60mg】(30錠/本)(泌尿・210047)",1
"8","","【011】ﾚﾝﾊﾞﾁﾆﾌﾞｶﾌﾟｾﾙ【10mg】（30個/本)(泌尿・210047)",1
"9","","【012】MK-6482(belzutifan)錠40mg(72錠/本)(泌尿・210048)",2
"10","","【012】ﾚﾝﾊﾞﾁﾆﾌﾞｶﾌﾟｾﾙ【10mg】(25個/本)(泌尿・210048)",11
"11","","【012】ﾚﾝﾊﾞﾁﾆﾌﾞｶﾌﾟｾﾙ【4mg】(25個/本)(泌尿・210048)",63
"12","","【022】MK-6482(Belzutifan)錠40mg(72錠/本)(泌尿・220005)",6
"13","","【031】BMS-986177ｶﾌﾟｾﾙ(32個×4枚/箱)(神内・200038)",2
"14","","【031】ｱｽﾋﾟﾘﾝ錠100mg(100錠/箱)(神内・200038)",1
"15","","【031】ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg(30錠/箱)(神内・200038)",1
"16","","【10059030】TAS-120(Futibatinib)錠4mg(消外・220006)",4
"17","","【10059030】治験用ﾘｵﾅ錠250mg(消外・220006)",4
"18","","【2002継続】Efgartigimod PH20【皮下注】(180mg/mL)6.5mL(神内・210006)",1
"19","","【21492】BAY1841788(ﾀﾞﾛﾙﾀﾐﾄﾞ)錠300mg(140錠/本)(泌尿･230030)",16
"20","","【641】ｴﾝｻﾞﾙﾀﾐﾄﾞ錠40mg(112錠/箱)(泌尿・190013)",52
"21","","【991】ｴﾝｻﾞﾙﾀﾐﾄﾞ錠40mg(112錠/箱)(泌尿・190071）",11
"22","","【A】cenobamate錠【P/12.5mg】(9錠/枚)(脳外・210002)",1
"23","","【AIHA】Parsaclisib錠【2.5mg】(35錠/本)(血内・210036)",3
"24","","【B】cenobamate錠【P/25mg】(9錠/枚)(脳外・210002)",1
"25","","【C】cenobamate錠【P/50mg/100mg】(9錠/枚)(脳外・210002)",2
"26","","【CAMBRIA-1】Camizestrant(AZD9833)錠75mg(96錠/本)(乳外･230036)",5
"27","","【CAMBRIA-1】ｱﾅｽﾄﾛｿﾞｰﾙ錠1mg(192錠/本)(乳外･230036)",4
"28","","【CAMBRIA-1】ﾀﾓｷｼﾌｪﾝ錠20mg(192錠/本)(乳外･230036)",4
"29","","【CAMCR-021】ﾒｸﾘｼﾞﾝ塩酸塩錠12.5mg(小児･239005)",24
"30","","【CAPItello-292】ｶﾋﾟﾊﾞｾﾙﾁﾌﾞ(AZD5363)錠160mg(76錠/本)(乳外･240042)",1
"31","","【CAPItello-292】ｶﾋﾟﾊﾞｾﾙﾁﾌﾞ(AZD5363)錠200mg(76錠/本)(乳外･240042)",1
"32","","【CAPItello-292】ﾊﾟﾙﾎﾞｼｸﾘﾌﾞ錠100mg(21錠/箱)(乳外･240042)",1
"33","","【CAPItello-292】ﾊﾟﾙﾎﾞｼｸﾘﾌﾞ錠75mg(21錠/箱)(乳外･240042)",1
"34","","【Cyt-006試験】ｻｰｼﾞﾗｯﾌﾟﾌﾛｽﾄ【M】(130×100×0.02mm)(消外･221002)",2
"35","","【Cyt-006試験】ｻｰｼﾞﾗｯﾌﾟﾌﾛｽﾄ【S】(65×50×0.02mm)(消外･221002)",2
"36","","【Cyt-006試験】ｾﾌﾟﾗﾌｨﾙﾑ(73.5×63.5mm)(4枚/箱)(消外･221002)",2
"37","","【D】cenobamate錠【P/50mg/100mg】(36錠/枚)(脳外・210002)",6
"38","","【DM】JBT-101ｶﾌﾟｾﾙ(35個/本)(皮膚・190048)",8
"39","","【ERICA】ｵﾗﾝｻﾞﾋﾟﾝ錠2.5mg(乳外･R2201G)",2
"40","","【FORECAST】試験用ﾊﾞﾌｧﾘﾝ配合錠A81(産婦・R2002G)",1
"41","","【frontMIND】ﾚﾅﾘﾄﾞﾐﾄﾞｶﾌﾟｾﾙ10mg(10個/箱)(血内･220007)",5
"42","","【frontMIND】ﾚﾅﾘﾄﾞﾐﾄﾞｶﾌﾟｾﾙ25mg(10個/箱)(血内･220007)",1
"43","","【IMAGENE】Niraparib錠100mg(30錠/本)(泌尿・219006)",8
"44","","【IPSOC-1】ｾﾙｾﾌﾟﾄｶﾌﾟｾﾙ250mg(心外・199006)",16
"45","","【IPSOC-1】ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠【2.5mg】(心外・199006)",7
"46","","【IPSOC-1】ﾌﾟﾚﾄﾞﾆﾝ錠【5mg】(心外・199006)",16
"47","","【IPSOC-1】ﾌﾟﾛｸﾞﾗﾌｶﾌﾟｾﾙ0.5mg(心外・199006)",17
"48","","【J-ACT】試験用ｱﾝﾌﾞﾛｷｿｰﾙ(TJ408T)錠100mg(100錠/箱)(小児・R21002G)",1
"49","","【J-ACT】試験用ｱﾝﾌﾞﾛｷｿｰﾙ(TJ408T)錠100mg(100錠/箱)(小児・R2102G)",16
"50","","【J-MIND】Parsaclisib【2.5mg】(35錠/本)(血内・200058)",20
"51","","【J-MIND】Parsaclisib【20mg】(35錠/本)(血内・200058)",6
"52","","【J-MIND】ﾚﾅﾘﾄﾞﾐﾄﾞｶﾌﾟｾﾙ5mg(21個/箱)(血内・200058)",12
"53","","【JCOG1308C】ﾃﾓｿﾞﾛﾐﾄﾞ錠100mg(脳外・16117)",7
"54","","【JCOG1308C】ﾃﾓｿﾞﾛﾐﾄﾞ錠20mg(脳外・16117)",2
"55","","【JGOG2052】Niraparibｶﾌﾟｾﾙ100mg(93個/本)(婦人・219007)",3
"56","","【LGS】soticlestat(TAK-935)錠【20mgﾐﾆﾀﾌﾞﾚｯﾄ】(100錠/本)(小児・210029)",12
"57","","【LIBREXIA-AF】Milvexian錠100mg(70錠/本)(循内･230045)",12
"58","","【LIBREXIA-AF】ｱﾋﾟｷｻﾊﾞﾝｶﾌﾟｾﾙ5mg(70個/本)(循内･230045)",12
"59","","【MEVPRO-2】PF-06821497(mevrometostat)錠125mg(62錠/本)(泌尿･240029)",1
"60","","【MEVPRO-2】PF-06821497(mevrometostat)錠250mg(62錠/本)(泌尿･240029)",1
