"","WELFARECODE","MEDICINENAME1","CNT"
"1","","(NPC-21用)生理食塩液500mL(泌尿･200005)",4
"2","","【005】ﾀﾞﾙﾍﾞﾎﾟｴﾁﾝｱﾙﾌｧ皮下注ｼﾘﾝｼﾞ(180μg/0.5mL)(泌尿・200051)",3
"3","","【012】MK-1308A配合注(MK1308:25mg/MK3475:400mg)(17.5mL)(泌尿・210048)",18
"4","","【012】MK-3475注(100mg/4mL)(2本/箱)(泌尿・210048)",30
"5","","【022】MK-3475静注用溶液(100mg/4mL)(2本/箱)(泌尿・220005)",6
"6","","【10059030】MK-3475(ﾍﾟﾑﾌﾞﾛﾘｽﾞﾏﾌﾞ)注100mg/4mL(2本/箱)(消外・220006)",4
"7","","【101】DS-7300a注100mg(消外･210004)",8
"8","","【2001】Efgartigimod PH20【静注】(400mg/20mL)(神内・200063)",4
"9","","【2002継続】Efgartigimod PH20【皮下注】(180mg/mL)6.5mL(神内・210006)",31
"10","","【221AD305】aducanumab(BIIB037)注(300mg/3mL)(神経･220033)",7
"11","","【641】MK-3475注100mg/4mL(2ﾊﾞｲｱﾙ/箱)(泌尿・190013)",35
"12","","【921】MK-3475注100mg/4mL(2ﾊﾞｲｱﾙ/箱)(泌尿・190014)",94
"13","","【921】ﾄﾞｾﾀｷｾﾙ注80mg/4mL(泌尿・190014)",44
"14","","【991】MK-3475注100mg/4mL(2ﾊﾞｲｱﾙ/箱)(泌尿・190071)",13
"15","","【AHEAD】BAN2401注500mg/5mL(神経・200048)",43
"16","","【ASCENT-03】Sacituzumab Govitecan注200mg(乳外･220042)",30
"17","","【ASCENT-J02】Sacituzumab Govitecan注200mg(泌尿･230042)",25
"18","","【AtTEnd】Atezolizumab注1200mg/20mL(婦人・199001)",547
"19","","【C4391022】ﾌﾙﾍﾞｽﾄﾗﾝﾄ筋注ｼﾘﾝｼﾞ(250mg/5mL)(2本/箱)(乳外･230059)",3
"20","","【CAPItello-292】ﾌﾙﾍﾞｽﾄﾗﾝﾄ注(250mg/5mL)(2本/箱)(乳外･240042)",3
"21","","【DESTINY-PT01】DS-8201a注射用100mg(消外・210003)",4
"22","","【DESTINY-PT02】DS-8201a(T-DXd)注射用100mg(消外･240010)",4
"23","","【Eisai120】E7389ﾘﾎﾟｿｰﾑ製剤(1mg/5mL)注(消外・200049)",6
"24","","【Eisai120】ONO-4538(100mg/10mL)注(消外・200049)",6
"25","","【ET】P1101皮下注ｼﾘﾝｼﾞ(500μg/1ｍL)(血内・200015)",1
"26","","【FLOT】MEDI4736注500mg/10mL(3本/箱)(消外・200040)",14
"27","","【FLOT】ｵｷｻﾘﾌﾟﾗﾁﾝ注200mg/40mL(消外・200040)",8
"28","","【FLOT】ﾄﾞｾﾀｷｾﾙ注80mg/4mL(消外・200040)",8
"29","","【FLOT】ﾌﾙｵﾛｳﾗｼﾙ注1000mg/20mL(消外・200040)",8
"30","","【FLOT】ﾚﾎﾞﾎﾘﾅｰﾄ注100mg(消外・200040)",8
"31","","【frontMIND】Tafasitamab(MOR00208)注200mg(血内･220007)",17
"32","","【HCC】BGB-A317注(100mg/10mL)(消外・9061)",45
"33","","【HERALD】DS-8201a注射用100mg(消外・199011)",41
"34","","【IMbrave152】Tiragolumab注(600mg/10mL)(消内･230043)",21
"35","","【IMbrave152】ｱﾃｿﾞﾘｽﾞﾏﾌﾞ注(1200mg/20mL)(消内･230043)",21
"36","","【IMbrave152】ﾍﾞﾊﾞｼｽﾞﾏﾌﾞ注(400mg/16mL)(消内･230043)",21
"37","","【IV】CNTO1959(ｸﾞｾﾙｸﾏﾌﾞ)注200mg/20mL(消内･230019)",3
"38","","【J-MIND】Tafasitamab注200mg(血内・200058）",109
"39","","【LN】Obinutuzumab静注用(1000mg/40mL)(免疫・210040)",6
"40","","【mCRPC】ﾄﾞｾﾀｷｾﾙ注80mg/8mL(泌尿・200042)",76
"41","","【mCRPC】ﾆﾎﾞﾙﾏﾌﾞ(BMS-936558)注100mg/10mL(泌尿・200042)",108
"42","","【MG0007】rozanolixizumab皮下注(560mg/4mL)(神内・200057)",21
"43","","【MMY3002】Talquetamab皮下注【3mg/1.5mL】(血内･220023)",9
"44","","【MMY3002】Talquetamab皮下注【40mg/1mL】(血内･220023)",68
"45","","【MMY3002】ﾀﾞﾗﾂﾑﾏﾌﾞ皮下注(1800mg/15mL)(血内･220023)",95
"46","","【MO42541】ｱﾃｿﾞﾘｽﾞﾏﾌﾞ注(1200mg/20mL)(消内･220028)",9
"47","","【PsA】Bimekizumab/Placebo皮下注(整外・190026)",4
"48","","【PsA】継続Bimekizumab皮下注ｼﾘﾝｼﾞ(160mg/1mL)(整外・190045)",30
"49","","【PT03】Dato-DXd注(100mg)(消外･220032)",18
"50","","【SC】CNTO1959(ｸﾞｾﾙｸﾏﾌﾞ)皮下注100mg/1mLまたは200mg/2mL(消内･230019)",8
"51","","【SC1】IDEC-C2B8-SC【皮下注】(1400mg/11.7mL)(血内・210021)",38
"52","","【SC1】IDEC-C2B8【点滴静注】(500mg/50mL)(血内・210021)",2
"53","","【Switch】Crovalimab注340mg/2mL(血内・200021)",2
"54","","【TACE】ｱﾃｿﾞﾘｽﾞﾏﾌﾞ注1200mg/20mL(消内・200047)",22
"55","","【TACE】ﾍﾞﾊﾞｼｽﾞﾏﾌﾞ注400mg/16mL(消内・200047)",33
"56","","【UC】MEDI4736注(500mg/10mL)(泌尿・180046)",17
"57","","【UC】tremelimumab注(400mg/20mL)(泌尿・180046)",4
"58","","【UC】ｹﾞﾑｼﾀﾋﾞﾝ注1000mg(泌尿・180046)",23
"59","","【UC】ｼｽﾌﾟﾗﾁﾝ注(100mg/100mL)(泌尿・180046)",12
"60","","【ｽﾃｰｼﾞA】Efgartigimod PH20 SC皮下注【180mg/mL】6.5mL(神内・200023)",3
"61","","【ﾒﾙｸ】Avelumab注200mg/10mL(消外・190009)",40
"62","","【拡大】BIIB067(ﾄﾌｪﾙｾﾝ)髄腔内注(1本/箱)(神内･240101)",2
"63","","【拡大】ONO-4538注100mg/10mL(食道)(消外・190101)",2
"64","","【拡大】ﾗﾅﾃﾞﾙﾏﾌﾞ(TAK743)注ｼﾘﾝｼﾞ(300mg/2mL)(皮膚・200102)",11
"65","","【限】ｴｳﾞｷｰｻﾞ点滴静注液(345mg/2.3mL)(無償提供品)",2
"66","","【限】ｸｱﾙｿﾃﾞｨ髄注(100mg/15mL)(無償提供品)",3
"67","","5-FU注【食道50】1000mg/20mL(消外・9022)",120
"68","","ABBV-154点滴静注用ﾊﾞｲｱﾙ50mg(消内･220001)",1
"69","","ABBV-383(20mg/10mL)注(血内・220002)",33
"70","","belantamab mafodotin(GSK2857916)注100mg(血内・200014)",2
"71","","BIIB067髄腔内注(1本/箱)(神内・190028)",3
"72","","Daratumumab注【07】400mg/20mL(血内・9040)",21
"73","","ERY974希釈液(1mL)(消外･230006)",3
"74","","ERY974注(250μg/1mL)(消外･230006)",3
"75","","Evinacumab注(150mg/mL)2.3mL(循内･229005)",12
"76","","GB-0998注5g/50mL(泌尿・200027)",4
"77","","GEN0101注10,000mNAU【HiDCV】(産婦・U31281)",14
"78","","GEN3013(Epcoritamab)皮下注【48mg/0.8mL】(血内・200043)",5
"79","","GEN3013(Epcoritamab)皮下注【5mg/1mL】(血内・200043)",2
"80","","GEN3013(Epcoritamab)皮下注【60mg/1mL】(血内・200043)",8
"81","","GEN3013希釈液(9mL/本)(血内・200043)",2
"82","","GSK3228836皮下注150mg/1mL(消内・200017)",26
"83","","HM-001膀注用(500μL)(泌尿･229006)",50
"84","","IDEC-C2B8注【T2】500mg/50mL(泌尿・180038)",4
"85","","IMAB362注105mg(消外・180025)",11
"86","","IMAB用5-FU注1000mg/20mL(消外・180025)",32
"87","","IMAB用ﾚﾎﾞﾎﾘﾅｰﾄｶﾙｼｳﾑ注100mg(消外・180025)",16
"88","","JNJ-79635322皮下注(10mg/2mL)(血内･240007)",1
"89","","JNJ-79635322皮下注(50mg/1mL)(血内･240007)",5
"90","","KHK4827皮下注210mg(皮膚・190001)",38
"91","","Lanadelumab皮下注(300mg/2mL)(皮膚・190049)",12
"92","","Lanadelumab皮下注ｼﾘﾝｼﾞ(300mg/2mL)(皮膚・190049)",7
"93","","nemolizumab皮下注ﾊﾞｲｱﾙ(皮膚・200045)",2
"94","","Nipocalimab注(1200mg/6.5mL)(血内･230004)",8
"95","","Nipocalimab注(600mg/20mL)(血内･230004)",12
"96","","NPC-21注40mg/4mL(泌尿･200005)",4
"97","","NT201注（100U/本)(神内・210023)",1
"98","","open期KHK4827皮下注210mg(皮膚・190001)",77
"99","","rozanolixizumab皮下注(560mg/4mL)(神内・190069)",6
"100","","S-005151注射用25mg(皮膚･220021)",10
"101","","S-531011注(400mg/16mL)(消外・210051)",12
"102","","ＴＰＮ－ＨＤ",297
"103","","ＴＰＮ－Ｌa１",36
"104","","ＴＰＮ－Ｌa２",204
"105","","ＴＰＮ－Ｎ１",28
"106","","ＴＰＮ－Ｎ２",787
"107","","ＴＰＮ－Ｐｅ１",250
"108","","ＴＰＮ－Ｐｅ２",1283
"109","","ＴＰＮ－Ｒｎ",553
"110","","ｱﾐﾊﾞﾝﾀﾏﾌﾞ(JNJ-61186372)注350mg/7mL(消外･210016)",23
"111","","ｲﾋﾟﾘﾑﾏﾌﾞ注【結･直腸】200mg/40mL(消外・190055)",4
"112","","インジゴカルミン注１％(5ml)",1
