"","BYOMEICD","BYOMEI","CNT"
"1","*","不妊症",3
"2","A020","サルモネラ腸炎",1
"3","A029","サルモネラ菌血症",1
"4","A041","腸管毒素原性大腸菌感染症",1
"5","A047","クロストリジウム・ディフィシル腸炎",44
"6","A047","偽膜性大腸炎",8
"7","A047","偽膜性腸炎",22
"8","A048","ＭＲＳＡ腸炎",1
"9","A048","ヘリコバクター・ピロリ感染症",2
"10","A049","細菌性胃腸炎",1
"11","A049","細菌性腸炎",18
"12","A052","壊死性腸炎",6
"13","A060","アメーバ赤痢",2
"14","A060","急性アメーバ赤痢",1
"15","A060","腸アメーバ症",2
"16","A080","ロタウイルス性腸炎",2
"17","A081","ノロウイルス性胃腸炎",3
"18","A081","ノロウイルス性腸炎",17
"19","A083","サイトメガロウイルス腸炎",2
"20","A084","ウイルス性胃腸炎",5
"21","A084","ウイルス性腸炎",9
"22","A09","下痢症",49
"23","A09","出血性大腸炎",3
"24","A09","出血性腸炎",1
"25","A09","大腸炎",1
"26","A09","急性胃腸炎",19
"27","A09","急性腸炎",15
"28","A09","感冒性胃腸炎",1
"29","A09","感染性下痢症",3
"30","A09","感染性大腸炎",1
"31","A09","感染性胃腸炎",12
"32","A09","感染性腸炎",22
"33","A09","炎症性腸疾患",2
"34","A09","胃腸炎",10
"35","A09","腸炎",12
"36","A09","難治性乳児下痢症",1
"37","A090","カタル性胃腸炎",6
"38","A090","感染性下痢症",2
"39","A090","感染性大腸炎",1
"40","A090","感染性胃腸炎",10
"41","A090","感染性腸炎",68
"42","A099","Ｓ状結腸炎",3
"43","A099","下痢症",481
"44","A099","出血性大腸炎",4
"45","A099","出血性腸炎",9
"46","A099","大腸炎",12
"47","A099","急性大腸炎",2
"48","A099","急性胃腸炎",15
"49","A099","急性腸炎",20
"50","A099","炎症性腸疾患",17
"51","A099","胃腸炎",18
"52","A099","腸炎",14
"53","A152","肺結核・組織学的確認あり",2
"54","A156","結核性胸膜炎・菌確認あり",1
"55","A162","活動性肺結核",6
"56","A162","結核性空洞",1
"57","A162","肺炎結核",7
"58","A162","肺結核",34
"59","A162","肺結核腫",6
"60","A163","肺門リンパ節結核",1
"61","A164","気管支結核",1
"62","A165","結核性胸膜炎",2
"63","A167","結核初期感染",13
"64","A169","潜在性結核感染症",18
"65","A169","結核",56
"66","A182","結核性リンパ節炎",3
"67","A183","腸結核",1
"68","A184","結核性硬結性紅斑",1
"69","A185","結核性ぶどう膜炎",3
"70","A186","結核性中耳炎",1
"71","A230","地中海熱",3
"72","A310","肺非結核性抗酸菌症",291
"73","A311","非結核性抗酸菌性皮膚潰瘍",4
"74","A318","非結核性抗酸菌性骨髄炎",2
"75","A319","非定型抗酸菌感染症",1
"76","A319","非結核性抗酸菌症",58
"77","A35","破傷風",2
"78","A392","急性髄膜炎菌菌血症",1
"79","A399","髄膜炎菌感染症",2
"80","A403","肺炎球菌性敗血症",3
"81","A409","連鎖球菌菌血症",2
"82","A410","ＭＲＳＡ敗血症",161
"83","A410","ＭＲＳＡ菌血症",38
"84","A410","ＭＳＳＡ菌血症",3
"85","A410","黄色ぶどう球菌敗血症",1
"86","A411","ＭＲＣＮＳ菌血症",1
"87","A411","コアグラーゼ陰性ぶどう球菌敗血症",4
"88","A412","ぶどう球菌性敗血症",3
"89","A412","ぶどう球菌菌血症",2
"90","A414","嫌気性菌敗血症",1
"91","A415","グラム陰性桿菌敗血症",10
"92","A415","グラム陰性菌敗血症",3
"93","A419","敗血症",224
"94","A419","敗血症性ショック",210
"95","A419","細菌性ショック",2
"96","A430","肺ノカルジア症",10
"97","A46","丹毒",4
"98","A46","顔面丹毒",1
"99","A480","ガス壊疽",1
"100","A481","レジオネラ症",2
"101","A481","レジオネラ肺炎",19
"102","A490","ＭＲＣＮＳ感染症",2
"103","A490","ＭＲＳＡ感染症",377
"104","A490","ＭＳＳＡ感染症",1
"105","A490","ＭＳＳＡ菌血症",11
"106","A490","ぶどう球菌感染症",5
"107","A491","Ｂ群溶連菌感染症",5
"108","A491","バンコマイシン耐性腸球菌感染症",3
"109","A491","ペニシリン耐性肺炎球菌感染症",1
"110","A491","侵襲性肺炎球菌感染症",1
"111","A491","溶連菌感染症",11
"112","A493","マイコプラズマ感染症",7
"113","A498","バンコマイシン耐性腸球菌感染症",1
"114","A498","ヘリコバクター・ピロリ感染症",24
"115","A498","多剤耐性緑膿菌感染症",1
"116","A498","嫌気性菌感染",1
"117","A498","緑膿菌感染症",9
"118","A498","腸球菌感染症",1
"119","A499","グラム陰性桿菌感染症",1
"120","A499","グラム陰性菌菌血症",4
"121","A499","グラム陽性球菌感染症",2
"122","A499","一過性菌血症",1
"123","A499","細菌感染症",58
"124","A499","菌血症",40
"125","A509","先天梅毒",1
"126","A513","梅毒性ばら疹",3
"127","A519","早期梅毒",1
"128","A520","梅毒性大動脈弁閉鎖不全症",1
"129","A523","神経梅毒",18
"130","A527","梅毒腫",1
"131","A530","潜伏梅毒",2
"132","A539","梅毒",18
"133","A540","急性淋菌性尿道炎",1
"134","A540","淋菌性子宮頚管炎",2
"135","A560","クラミジア子宮頚管炎",2
"136","A560","クラミジア頚管炎",3
"137","A590","トリコモナス腟炎",9
"138","A599","トリコモナス症",1
"139","A600","外陰部ヘルペス",5
"140","A600","性器ヘルペス",62
"141","A600","陰部ヘルペス",21
"142","A630","外陰部尖圭コンジローマ",1
"143","A630","尖圭コンジローマ",10
"144","A630","肛門尖圭コンジローマ",2
"145","A630","腟壁尖圭コンジローマ",10
"146","A70","オウム病肺炎",1
"147","A810","クロイツフェルト・ヤコブ病",8
"148","A810","孤発性クロイツフェルト・ヤコブ病",1
"149","A812","進行性多巣性白質脳症",3
"150","A858","ＨＴＬＶ−１関連脊髄症",8
"151","A858","ヒトヘルペスウイルス６脳炎",1
"152","A86","ウイルス性脳炎",1
"153","A86","ウイルス性髄膜脳炎",3
"154","A879","ウイルス性髄膜炎",4
"155","B000","カポジ水痘様発疹症",7
