"","DISEASECODE","DIAGNOSISDISEASE","CNT"
"1","9999999999","ＡＳＤ術後",2
"2","9999999999","Ｂｅｎｔａｌｌ術後",2
"3","9999999999","Ｊａｔｅｎｅ手術後",2
"4","9999999999","ｒｓウイルスによる重篤な下気道感染の予防",1
"5","9999999999","ＳＭＡ狭窄症",2
"6","9999999999","Ｓ状結腸膀胱侵潤",2
"7","9999999999","カテーテル閉塞",2
"8","9999999999","ステロイド抵抗性ネフローゼ症候群",2
"9","9999999999","パニック障害",2
"10","9999999999","フォンタン手術後",2
"11","9999999999","上気道炎",2
"12","9999999999","不正乱視",2
"13","9999999999","不眠症",2
"14","9999999999","両側半月板損傷",2
"15","9999999999","両側反復性膝蓋骨脱臼",2
"16","9999999999","両手しびれ感",2
"17","9999999999","両膝関節症",2
"18","9999999999","両踵骨部痛",2
"19","9999999999","中足骨骨切り術後",2
"20","9999999999","乾癬性関節炎",2
"21","9999999999","仙腸関節疼痛",2
"22","9999999999","仙腸関節痛",6
"23","9999999999","低ガンマグロブリン血症",2
"24","9999999999","便秘症",4
"25","9999999999","側弯症",2
"26","9999999999","僧帽弁形成術後",2
"27","9999999999","先天性心疾患術後",2
"28","9999999999","内反尖足術後",2
"29","9999999999","副鼻腔出血",2
"30","9999999999","化学療法に伴う好中球減少症",2
"31","9999999999","口内炎",2
"32","9999999999","右アキレス腱再建術後",2
"33","9999999999","右前足部挫傷",2
"34","9999999999","右坐骨部痛",2
"35","9999999999","右大腿骨頭壊死",2
"36","9999999999","右室流出路再建術後",2
"37","9999999999","右母指血行再建術後",2
"38","9999999999","右肋骨腫瘍",2
"39","9999999999","右肘関節全置換術術後",2
"40","9999999999","右股部挫傷",2
"41","9999999999","右肩痛",2
"42","9999999999","右膝内障",2
"43","9999999999","右足三関節固定術後",2
"44","9999999999","右足底線維腫症",2
"45","9999999999","右頬骨変形",4
"46","9999999999","右鼡径リンパ節腫張",2
"47","9999999999","変形性肘関節症",2
"48","9999999999","変形性脊椎症",2
"49","9999999999","外側型脊柱管狭窄症",2
"50","9999999999","大腸ポリープ",4
"51","9999999999","好酸球性中耳炎",2
"52","9999999999","左下腿腫瘤",2
"53","9999999999","左前腕痛",2
"54","9999999999","左大腿軟部腫瘍摘出術術後",2
"55","9999999999","左大腿部術後縫合糸膿瘍",2
"56","9999999999","左大転子部滑液包炎",2
"57","9999999999","左小指屈指症術後",2
"58","9999999999","左急性感音性難聴、目眩（メニエール病による）",2
"59","9999999999","左手打撲",2
"60","9999999999","左第２中足骨骨折",2
"61","9999999999","左肘関節内血腫",2
"62","9999999999","左股関節炎",2
"63","9999999999","左肩腱板断裂",2
"64","9999999999","左膝半月損傷",2
"65","9999999999","左足底線維腫症",2
"66","9999999999","左足底腱膜線維腫症",2
"67","9999999999","左足痛症",2
"68","9999999999","左足関節滑液包炎",2
"69","9999999999","帝王切開術後",4
"70","9999999999","心房中隔欠損症閉鎖術後",2
"71","9999999999","心臓横紋筋肉腫",3
"72","9999999999","急性上気道炎",4
"73","9999999999","急性出血性胃潰瘍",2
"74","9999999999","急性咽頭炎",4
"75","9999999999","急性扁桃炎",2
"76","9999999999","感冒",6
"77","9999999999","感染性心内膜炎（術後、慢性）",4
"78","9999999999","慢性糸球体腎炎",2
"79","9999999999","慢性関節リウマチ術後",2
"80","9999999999","手関節棚形成術及び伸筋腱移行術後",2
"81","9999999999","拡大胸腺摘出術後",2
"82","9999999999","拡張型心筋症",2
"83","9999999999","末梢神経障害",4
"84","9999999999","検査時の鎮静目的",2
"85","9999999999","気管支感染症",2
"86","9999999999","気管瘻術後",2
"87","9999999999","気道出血",2
"88","9999999999","水疱性角膜症",2
"89","9999999999","消化管アミロイドーシス",2
"90","9999999999","深在性真菌症",2
"91","9999999999","溶血発作",2
"92","9999999999","溶血発作に伴う低ハプトグロビン血症",2
"93","9999999999","爪白癬",2
"94","9999999999","甲状腺機能低下症",2
"95","9999999999","癌化学療法の好中球減少症",2
"96","9999999999","皮下腫瘤",2
"97","9999999999","眩暈症",2
"98","9999999999","神経根症を伴う胸部椎間板障害",2
"99","9999999999","神経痛",2
"100","9999999999","移植前検査",2
"101","9999999999","第４腰椎変性すべり症",2
"102","9999999999","糖尿病",4
"103","9999999999","細菌性気管支炎",2
"104","9999999999","肺サルコイドーシス",2
"105","9999999999","肺線維症",2
"106","9999999999","胃炎",2
"107","9999999999","胃癌術後",2
"108","9999999999","胸背部痛",2
"109","9999999999","胸腺摘出術後",4
"110","9999999999","胸腺胸腺腫摘出術後",2
"111","9999999999","胸部打撲",2
"112","9999999999","胼胝",24
