WELFARECODE,MEDICINENAME,件数
2655709N1053,ニゾラールクリーム２％・１０ｇ,826
2646726M1095,メサデルム軟膏０．１％・１０ｇ,300
2646726N1090,メサデルムクリーム０．１％・１０ｇ,125
3339950M1137,ヒルドイドソフト軟膏0.3%･50g（院外専用）,1830
2647705M1023,テラコートリル軟膏５ｇ,497
3339950R1169,ヘパリン類似物質外用泡状ｽﾌﾟﾚｰ0.3%･100g｢日本臓器｣,1705
3399007H1021,☆バイアスピリン錠１００ｍｇ,13336
1190023F1024,☆ベルソムラ錠１５ｍｇ,3590
1319758Q1021,ジクアス点眼液３％・５ｍｌ,2803
2239001G2027,ムコソルバンＬ錠４５ｍｇ,5957
2149048F1022,アジルバ錠２０ｍｇ,5494
2189015F2020,◇ﾘﾋﾟﾄｰﾙ錠10mg,236
2590009F6049,ナフトピジルＯＤ錠２５ｍｇ「ＥＥ」,1121
2590013F2058,◇ｲﾐﾀﾞﾌｪﾅｼﾝOD錠0.1mg,29
2354003F2316,◇ﾌﾟﾙｾﾞﾆﾄﾞ錠12mg,131
2171022F4044,◇ﾉﾙﾊﾞｽｸOD錠5mg,148
2316009F1022,ミヤＢＭ錠,38396
2190016Q2034,アーガメイト２０％ゼリー２５ｇ,271
2189015F2070,アトルバスタチン錠１０ｍｇ「トーワ」,10617
3339002F5025,☆リクシアナＯＤ錠３０ｍｇ（抗凝固薬）,2764
7213005B1028,マグコロールＰ（５０ｇ／包）,427
2357701K6239,グリセリン浣腸液50%｢ｹﾝｴｰ｣(Lﾀｲﾌﾟ)６０ｍＬ,4355
1141007F3023,カロナール錠５００ｍｇ（院外専用）,3882
1149007F1142,ナイキサン錠１００ｍｇ,804
2239001G1039,◇ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩徐放OD錠45mg,178
2171022F4036,アムロジピンＯＤ錠５ｍｇ「トーワ」,31311
2456001F1310,プレドニン錠５ｍｇ【AD】,40417
2354003F2367,センノシド錠１２ｍｇ「サワイ」,29603
2391008M2028,イメンドカプセル１２５ｍｇ,8156
2391008M1021,イメンドカプセル８０ｍｇ,8207
2190016Q2034,ﾎﾟﾘｽﾁﾚﾝｽﾙﾎﾝ酸Ca経口ゼリー20%分包25g｢三和｣,1361
2344009F2082,酸化マグネシウム錠３３０ｍｇ「ケンエー」,57997
2646730M1059,アンテベート軟膏０．０５％・１０ｇ,4953
3339950M1137,ヒルドイドソフト軟膏０．３％・２５ｇ,9964
2171022F4184,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,42
2590009F6103,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠25mg,23
2646730Q1026,アンテベートローション０．０５％・１０ｇ,1464
2646701M2156,リンデロンＶ軟膏０．１２％・１０ｇ,3102
3222013F1025,◇ﾌｪﾛﾐｱ錠50mg,175
5200067D1049,ﾂﾑﾗ芍薬甘草湯(2.5g/包)TJ-68,4147
1141007F2027,カロナール錠３００ｍｇ,45537
4490023F1148,◇ﾌｪｷｿﾌｪﾅｼﾞﾝ塩酸塩錠60mg,51
3399003F1111,◇ﾘﾏﾌﾟﾛｽﾄｱﾙﾌｧﾃﾞｸｽ錠5μg,54
2649722N1027,オイラックスクリーム１０％・１０ｇ,2252
7149004X1117,l－メントール（外用）,591
2649729S3084,モーラステープＬ４０ｍｇ(7枚／袋),9402
3339950Q1074,ヒルドイドローション０．３％・５０ｇ,18767
2646713M1136,デルモベート軟膏０．０５％・５ｇ,1599
2171700S1133,◇硝酸ｲｿｿﾙﾋﾞﾄﾞﾃｰﾌﾟ40mg,79
7990001S2031,◇D-ｿﾙﾋﾞﾄｰﾙ内用液65%,6
2133001F1476,スピロノラクトン錠２５ｍｇ｢トーワ｣【AD】,20945
2139005F1060,フロセミド錠２０ｍｇ「ＮＰ」【AD】,14513
2139005F2385,フロセミド錠４０ｍｇ「ＮＰ」【AD】,4800
2189017F2037,ロスバスタチン錠５ｍｇ「ＤＳＥＰ」,5848
2329028F1112,ラベプラゾールＮａ錠１０ｍｇ「トーワ」,8933
3399100F1116,低用量バファリン配合錠Ａ８１,1056
3949003F1023,フェブリク錠１０ｍｇ,14708
3969011F1020,エクア錠５０ｍｇ,1265
3119001M1020,チガソンカプセル１０ｍｇ,256
3222013F1157,クエン酸第一鉄Ｎａ錠５０ｍｇ「サワイ」,17788
4490023F1091,フェキソフェナジン塩酸塩錠６０mg｢SANIK｣,9327
3399003F1146,リマプロストアルファデクス錠５μｇ｢ｻﾜｲ｣,2244
2139005F2407,◇ﾌﾛｾﾐﾄﾞ錠40mg,37
2189017F1030,◇ﾛｽﾊﾞｽﾀﾁﾝ錠2.5mg,360
3399100F1116,◇ﾊﾞﾌｧﾘﾝ配合錠A81,58
3949003F2038,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠20mg,204
3969014F1024,トラゼンタ錠5mg,3329
2189017F1030,ロスバスタチン錠２．５ｍｇ「ＤＳＥＰ」,12044
3999001Q6029,ラグノスＮＦ経口ゼリー分包１２ｇ,1056
2171700S1095,フランドルテープ４０ｍｇ,1567
2633705N1031,ゲーベンクリーム１％・５０ｇ,87
6132013M2025,セフゾンカプセル１００ｍｇ（院外専用）,302
7149004X1052,l－メントール（外用）,94
2316009F1022,◇ﾐﾔBM錠,447
1319758Q1021,◇ｼﾞｸｱｽ点眼液3%,207
2646717M1096,ロコイド軟膏０．１％・１０ｇ,1720
1319812M1026,リンデロンＡ軟膏５ｇ（眼・耳科用）,2144
6149003F2208,クラリスロマイシン錠２００ｍｇ「タナベ」,1244
2149048F1022,◇ｱｼﾞﾙﾊﾞ錠20mg,203
2239001G1020,◇ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩徐放OD錠45mg,51
2189015F2046,◇ｱﾄﾙﾊﾞｽﾀﾁﾝ錠10mg,121
2354003F2332,◇ｾﾝﾉｼﾄﾞ錠12mg,62
3339002F5025,リクシアナＯＤ錠３０ｍｇ（抗凝固薬）,4479
2646725M1201,マイザー軟膏０．０５％・１０ｇ,1808
2699801V1114,イソジンシュガーパスタ軟膏１００ｇ,1273
2344009F1086,酸化マグネシウム錠２５０ｍｇ「ケンエー」,7781
